order_id,order_date,product_id,product_name,category,quantity,price,total_price,customer_id,customer_region
1,2023-02-01,172,Leite 172,Alimentos,5,242.61,1213.05,60,Nordeste
2,2023-09-29,241,Autoajuda 241,Livros,5,262.49,1312.45,168,Norte
3,2023-07-11,327,Óleo de Motor 327,Automotivo,4,391.57,1566.28,254,Sudeste
4,2023-03-23,665,Esmalte 665,Beleza,4,107.67,430.68,236,Sul
5,2023-01-19,362,Lâmpada 362,Automotivo,1,356.84,356.84,273,Norte
6,2023-03-19,639,Esmalte 639,Beleza,5,489.93,2449.65,151,Norte
7,2023-04-03,562,Luvas 562,Esportes,4,250.48,1001.92,319,Nordeste
8,2023-12-25,969,GPS 969,Automotivo,3,484.67,1454.01,484,Centro-Oeste
9,2023-02-02,72,Cama Box 72,Casa,4,63.13,252.52,361,Centro-Oeste
10,2023-11-06,667,Chocolate 667,Alimentos,4,380.0,1520.0,235,Sul
11,2023-01-12,941,Short Esportivo 941,Esportes,2,235.01,470.02,394,Centro-Oeste
12,2023-02-24,961,Squeeze 961,Esportes,1,54.86,54.86,425,Nordeste
13,2023-08-08,642,Mangueira 642,Jardinagem,5,258.83,1294.15,3,Sudeste
14,2023-05-04,744,Condicionador 744,Beleza,5,188.35,941.75,184,Nordeste
15,2023-04-24,803,Luvas 803,Esportes,3,139.33,417.99,230,Sul
16,2023-07-24,794,Tapete 794,Casa,3,306.37,919.11,445,Nordeste
17,2023-02-10,83,Leite 83,Alimentos,4,466.2,1864.8,120,Sudeste
18,2023-01-09,531,Biscoito 531,Alimentos,5,291.85,1459.25,319,Nordeste
19,2023-04-11,289,Chocolate 289,Alimentos,5,350.89,1754.45,199,Nordeste
20,2023-06-11,397,Blocos de Montar 397,Brinquedos,4,461.84,1847.36,354,Sul
21,2023-01-18,152,Blusa 152,Roupas,5,159.04,795.2,197,Nordeste
22,2023-05-08,322,Batom 322,Beleza,2,420.18,840.36,425,Nordeste
23,2023-09-01,913,Regador 913,Jardinagem,2,131.65,263.3,280,Norte
24,2023-07-20,486,Pelúcia 486,Brinquedos,4,379.65,1518.6,399,Centro-Oeste
25,2023-02-06,24,Shorts 24,Roupas,5,133.29,666.45,292,Centro-Oeste
26,2023-05-25,462,Armário 462,Casa,5,308.61,1543.05,145,Nordeste
27,2023-02-27,649,Pião 649,Brinquedos,3,369.3,1107.9,188,Sul
28,2023-04-19,768,Squeeze 768,Esportes,4,307.13,1228.52,367,Centro-Oeste
29,2023-08-27,759,Terra Adubada 759,Jardinagem,4,160.07,640.28,355,Centro-Oeste
30,2023-10-06,994,Fone de Ouvido 994,Eletrônicos,5,230.81,1154.05,259,Sul
31,2023-08-16,848,Sofá 848,Casa,2,145.06,290.12,347,Sul
32,2023-03-03,618,Kit Ferramentas 618,Automotivo,5,390.32,1951.6,417,Centro-Oeste
33,2023-08-13,614,GPS 614,Automotivo,5,16.68,83.4,485,Sudeste
34,2023-06-29,261,Calota 261,Automotivo,4,495.48,1981.92,283,Centro-Oeste
35,2023-01-16,11,Esmalte 11,Beleza,1,167.41,167.41,402,Sudeste
36,2023-05-27,693,Blusa 693,Roupas,3,388.45,1165.35,160,Sul
